Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean of per capita GDP of countries(2002-2019)
Afghanistan,196.683,196.954,214.23,248.049,270.189,321.441,377.256,430.867,532.072,602.183,661.087,635.635,629.332,594.513,560.601,569.531,544.983,513.108,449.9285556
Albania,"1,425.13","1,846.12","2,373.58","2,673.77","2,972.75","3,595.05","4,370.56","4,114.09","4,097.83","4,439.89","4,248.91","4,415.60","4,584.92","3,953.61","4,124.41","4,540.46","5,239.21","5,372.74",3799.368167
Algeria,"1,806.86","2,128.39","2,636.31","3,141.03","3,508.96","3,986.56","4,943.50","3,886.06","4,480.72","5,453.89","5,574.51","5,477.06","5,466.33","4,153.32","3,918.94","4,012.13","4,080.91","3,980.12",4035.310944
Angola,841.42,951.969,"1,222.04","1,862.42","2,561.86","3,099.09","4,081.69","3,146.80","3,641.44","4,716.25","5,245.02","5,436.52","5,625.74","4,354.92","3,676.83","4,303.69","3,620.59","3,037.98",3412.570222
Antigua and Barbuda,"10,482.37","10,893.15","11,582.52","12,738.00","14,264.57","15,996.06","16,514.08","14,616.95","13,568.91","13,295.36","13,874.19","13,514.89","14,144.12","14,967.36","15,914.68","16,089.36","17,464.34","18,109.10",14334.99944
Argentina,"2,898.29","3,645.94","4,314.10","5,163.55","5,976.08","7,315.73","9,146.79","8,337.81","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32","12,772.87","14,588.01","11,658.22","9,887.79",9743.818
Armenia,779.122,923.387,"1,180.40","1,628.06","2,128.15","3,079.03","3,913.44","2,911.76","3,121.78","3,417.17","3,575.53","3,732.04","3,889.00","3,529.03","3,524.00","3,868.91","4,187.61","4,527.59",2995.333611
Aruba,"21,081.79","21,704.38","23,421.30","23,874.64","24,389.24","26,114.09","27,204.89","24,594.68","23,468.60","24,801.81","24,236.81","24,253.14","24,599.30","24,686.16","24,075.52","24,164.36","25,366.48","25,976.24",24334.07844
Australia,"21,644.93","27,222.02","32,750.64","36,151.01","37,868.90","45,105.29","49,151.94","45,685.17","56,453.66","67,222.19","68,436.08","65,171.23","61,652.51","51,496.63","51,978.95","55,973.64","56,420.20","53,825.16",49122.7855
Austria,"26,508.31","32,298.61","36,883.89","38,450.61","40,674.88","46,922.56","51,914.01","48,111.65","46,955.17","51,452.29","48,616.90","50,747.38","51,814.42","44,266.42","45,105.31","47,389.37","51,343.51","50,022.61",44970.99556
Azerbaijan,760.812,879.863,"1,039.82","1,571.29","2,458.42","3,818.27","5,578.56","4,963.77","5,880.81","7,242.81","7,545.87","7,926.09","7,939.17","5,300.14","3,897.71","4,212.47","4,722.33","4,689.38",4468.198333
