'sample length', 'average absolute error'
10,1.23
20,0.34
30,0.47
40,0.16
50,0.05
60,0.0
70,0.46
80,0.5
90,0.17
100,0.41
110,0.58
120,0.38
130,0.34
140,0.49
150,0.44
160,0.86
170,0.31
180,0.52
190,0.17
200,0.35
210,0.32
220,0.37
230,0.21
240,0.23
250,0.34
260,0.23
270,0.61
280,0.05
290,0.06
300,0.03
310,0.18
320,0.16
330,0.07
340,0.04
350,0.13
360,0.13
370,0.09
380,0.52
390,0.2
400,0.05
410,0.06
420,0.09
430,0.03
440,0.12
450,0.15
460,0.37
470,0.02
480,0.0
490,0.07
500,0.16
510,0.24
520,0.1
530,0.09
540,0.08
550,0.12
560,0.11
570,0.26
580,0.13
590,0.04
600,0.05
610,0.01
620,0.18
630,0.12
640,0.02
650,0.35
660,0.12
670,0.01
680,0.22
690,0.44
700,0.06
710,0.06
720,0.03
730,0.03
740,0.07
750,0.06
760,0.13
770,0.15
780,0.18
790,0.1
800,0.15
810,0.07
820,0.04
830,0.02
840,0.05
850,0.17
860,0.03
870,0.15
880,0.09
890,0.07
900,0.12
910,0.08
920,0.09
930,0.04
940,0.05
950,0.07
960,0.03
970,0.07
980,0.02
990,0.04
1000,0.04
1010,0.17
1020,0.15
1030,0.01
1040,0.18
1050,0.09
1060,0.09
1070,0.18
1080,0.06
1090,0.24
1100,0.12
1110,0.07
1120,0.28
1130,0.01
1140,0.14
1150,0.05
1160,0.07
1170,0.09
1180,0.17
1190,0.12
1200,0.11
1210,0.19
1220,0.17
1230,0.1
1240,0.01
1250,0.02
1260,0.14
1270,0.23
1280,0.09
1290,0.03
1300,0.13
1310,0.12
1320,0.17
1330,0.03
1340,0.16
1350,0.04
1360,0.04
1370,0.11
1380,0.19
1390,0.29
1400,0.07
1410,0.04
1420,0.08
1430,0.1
1440,0.22
1450,0.07
1460,0.01
1470,0.2
1480,0.01
1490,0.22
1500,0.02
1510,0.03
1520,0.06
1530,0.03
1540,0.03
1550,0.07
1560,0.14
1570,0.04
1580,0.06
1590,0.0
1600,0.01
1610,0.08
1620,0.01
1630,0.01
1640,0.03
1650,0.01
1660,0.11
1670,0.09
1680,0.06
1690,0.0
1700,0.02
1710,0.08
1720,0.08
1730,0.07
1740,0.04
1750,0.14
1760,0.1
1770,0.06
1780,0.18
1790,0.12
1800,0.08
1810,0.09
1820,0.08
1830,0.15
1840,0.03
1850,0.05
1860,0.02
1870,0.03
1880,0.19
1890,0.12
1900,0.05
1910,0.03
1920,0.13
1930,0.02
1940,0.07
1950,0.11
1960,0.16
1970,0.05
1980,0.07
1990,0.01
2000,0.04
2010,0.1
2020,0.06
2030,0.0
2040,0.07
2050,0.08
2060,0.1
2070,0.04
2080,0.12
2090,0.05
2100,0.02
2110,0.02
2120,0.04
2130,0.05
2140,0.1
2150,0.08
2160,0.1
2170,0.18
2180,0.03
2190,0.1
2200,0.12
2210,0.14
2220,0.08
2230,0.21
2240,0.08
2250,0.02
2260,0.1
2270,0.02
2280,0.12
2290,0.04
2300,0.06
2310,0.02
2320,0.15
2330,0.01
2340,0.01
2350,0.06
2360,0.03
2370,0.02
2380,0.02
2390,0.13
2400,0.02
2410,0.1
2420,0.02
2430,0.01
2440,0.01
2450,0.16
2460,0.08
2470,0.01
2480,0.12
2490,0.09
2500,0.01
2510,0.15
2520,0.04
2530,0.12
2540,0.09
2550,0.07
2560,0.1
2570,0.07
2580,0.14
2590,0.05
2600,0.02
2610,0.09
2620,0.01
2630,0.01
2640,0.04
2650,0.02
2660,0.07
2670,0.12
2680,0.02
2690,0.04
2700,0.01
2710,0.04
2720,0.02
2730,0.02
2740,0.0
2750,0.1
2760,0.0
2770,0.01
2780,0.1
2790,0.02
2800,0.1
2810,0.05
2820,0.03
2830,0.0
2840,0.17
2850,0.1
2860,0.05
2870,0.04
2880,0.07
2890,0.06
2900,0.14
2910,0.09
2920,0.08
2930,0.0
2940,0.08
2950,0.01
2960,0.05
2970,0.01
2980,0.11
2990,0.08
3000,0.02
3010,0.11
3020,0.03
3030,0.11
3040,0.04
3050,0.06
3060,0.2
3070,0.02
3080,0.11
3090,0.04
3100,0.19
3110,0.02
3120,0.08
3130,0.06
3140,0.06
3150,0.08
3160,0.05
3170,0.04
3180,0.03
3190,0.07
3200,0.11
3210,0.1
3220,0.05
3230,0.01
3240,0.04
3250,0.03
3260,0.04
3270,0.06
3280,0.06
3290,0.03
3300,0.04
3310,0.03
3320,0.03
3330,0.01
3340,0.03
3350,0.1
3360,0.04
3370,0.04
3380,0.02
3390,0.03
3400,0.02
3410,0.01
3420,0.05
3430,0.0
3440,0.09
3450,0.06
3460,0.13
3470,0.02
3480,0.06
3490,0.02
3500,0.07
3510,0.06
3520,0.01
3530,0.06
3540,0.02
3550,0.01
3560,0.14
3570,0.0
3580,0.04
3590,0.05
3600,0.09
3610,0.02
3620,0.09
3630,0.16
3640,0.01
3650,0.01
3660,0.06
3670,0.01
3680,0.08
3690,0.14
3700,0.04
3710,0.01
3720,0.03
3730,0.08
3740,0.08
3750,0.03
3760,0.08
3770,0.09
3780,0.07
3790,0.01
3800,0.03
3810,0.02
3820,0.05
3830,0.09
3840,0.02
3850,0.09
3860,0.02
3870,0.08
3880,0.04
3890,0.02
3900,0.04
3910,0.05
3920,0.0
3930,0.16
3940,0.02
3950,0.08
3960,0.08
3970,0.05
3980,0.1
3990,0.05
4000,0.09
4010,0.04
4020,0.04
4030,0.03
4040,0.0
4050,0.02
4060,0.01
4070,0.02
4080,0.04
4090,0.0
4100,0.11
4110,0.1
4120,0.01
4130,0.09
4140,0.07
4150,0.04
4160,0.07
4170,0.01
4180,0.04
4190,0.02
4200,0.09
4210,0.08
4220,0.08
4230,0.06
4240,0.06
4250,0.05
4260,0.02
4270,0.04
4280,0.02
4290,0.0
4300,0.01
4310,0.01
4320,0.07
4330,0.06
4340,0.13
4350,0.08
4360,0.03
4370,0.03
4380,0.02
4390,0.01
4400,0.08
4410,0.03
4420,0.06
4430,0.11
4440,0.08
4450,0.05
4460,0.02
4470,0.12
4480,0.06
4490,0.02
4500,0.11
4510,0.02
4520,0.03
4530,0.02
4540,0.02
4550,0.08
4560,0.09
4570,0.05
4580,0.02
4590,0.16
4600,0.01
4610,0.06
4620,0.06
4630,0.03
4640,0.0
4650,0.01
4660,0.07
4670,0.08
4680,0.11
4690,0.04
4700,0.05
4710,0.03
4720,0.08
4730,0.08
4740,0.0
4750,0.01
4760,0.05
4770,0.08
4780,0.05
4790,0.02
4800,0.05
4810,0.03
4820,0.01
4830,0.04
4840,0.04
4850,0.01
4860,0.04
4870,0.07
4880,0.05
4890,0.11
4900,0.07
4910,0.02
4920,0.0
4930,0.0
4940,0.09
4950,0.06
4960,0.07
4970,0.01
4980,0.06
4990,0.05
5000,0.0
5010,0.03
5020,0.05
5030,0.08
5040,0.04
5050,0.06
5060,0.06
5070,0.1
5080,0.07
5090,0.07
5100,0.02
5110,0.02
5120,0.04
5130,0.06
5140,0.07
5150,0.04
5160,0.04
5170,0.08
5180,0.04
5190,0.02
5200,0.15
5210,0.08
5220,0.04
5230,0.02
5240,0.01
5250,0.07
5260,0.07
5270,0.05
5280,0.01
5290,0.01
5300,0.06
5310,0.06
5320,0.06
5330,0.06
5340,0.05
5350,0.07
5360,0.06
5370,0.07
5380,0.05
5390,0.03
5400,0.02
5410,0.01
5420,0.04
5430,0.01
5440,0.02
5450,0.01
5460,0.01
5470,0.0
5480,0.07
5490,0.02
5500,0.04
5510,0.02
5520,0.09
5530,0.06
5540,0.11
5550,0.01
5560,0.01
5570,0.05
5580,0.06
5590,0.04
5600,0.08
5610,0.14
5620,0.06
5630,0.04
5640,0.04
5650,0.09
5660,0.01
5670,0.08
5680,0.01
5690,0.06
5700,0.02
5710,0.12
5720,0.03
5730,0.04
5740,0.04
5750,0.02
5760,0.02
5770,0.03
5780,0.03
5790,0.01
5800,0.12
5810,0.03
5820,0.01
5830,0.0
5840,0.0
5850,0.02
5860,0.02
5870,0.0
5880,0.01
5890,0.05
5900,0.03
5910,0.05
5920,0.04
5930,0.05
5940,0.03
5950,0.01
5960,0.02
5970,0.0
5980,0.03
5990,0.03
6000,0.01
6010,0.05
6020,0.13
6030,0.12
6040,0.05
6050,0.07
6060,0.1
6070,0.05
6080,0.04
6090,0.03
6100,0.07
6110,0.0
6120,0.04
6130,0.06
6140,0.0
6150,0.07
6160,0.06
6170,0.12
6180,0.01
6190,0.01
6200,0.07
6210,0.01
6220,0.02
6230,0.02
6240,0.02
