Country,Per Capita GDP,2019
Afghanistan,1828.93,"1,828.93"
Albania,12214.67,"12,214.67"
Algeria,13703.4,"13,703.40"
Angola,5895.03,"5,895.03"
Antigua and Barbuda,25619.67,"25,619.67"
Argentina,17508.89,"17,508.89"
Armenia,9675.85,"9,675.85"
Aruba,35050.77,"35,050.77"
Australia,46601.0,"46,601.00"
Austria,46758.07,"46,758.07"
Azerbaijan,16252.13,"16,252.13"
The Bahamas,29100.83,"29,100.83"
Bahrain,44464.66,"44,464.66"
Bangladesh,4389.57,"4,389.57"
Barbados,16518.9,"16,518.90"
Belarus,18022.52,"18,022.52"
Belgium,43240.16,"43,240.16"
Belize,7563.81,"7,563.81"
Benin,3008.83,"3,008.83"
Bhutan,8622.22,"8,622.22"
Bolivia,7134.57,"7,134.57"
Bosnia and Herzegovina,12414.22,"12,414.22"
Botswana,16202.01,"16,202.01"
Brazil,14371.62,"14,371.62"
Brunei Darussalam,70177.25,"70,177.25"
Bulgaria,21472.23,"21,472.23"
Burkina Faso,1813.5,"1,813.50"
Burundi,634.839,634.839
Cabo Verde,6747.94,"6,747.94"
Cambodia,4072.19,"4,072.19"
Cameroon,3453.04,"3,453.04"
Canada,44284.78,"44,284.78"
Central African Republic,718.112,718.112
Chad,2165.79,"2,165.79"
Chile,22975.56,"22,975.56"
China,17027.48,"17,027.48"
Colombia,13567.91,"13,567.91"
Comoros,2443.64,"2,443.64"
Democratic Republic of the Congo,741.311,741.311
Republic of Congo,6263.12,"6,263.12"
Costa Rica,15747.48,"15,747.48"
Côte d'Ivoire,3891.22,"3,891.22"
Croatia,24207.93,"24,207.93"
Cyprus,36149.4,"36,149.40"
Czech Republic,33903.01,"33,903.01"
Denmark,47040.42,"47,040.42"
Djibouti,4860.63,"4,860.63"
Dominica,10483.41,"10,483.41"
Dominican Republic,16946.15,"16,946.15"
Ecuador,10251.71,"10,251.71"
Egypt,12242.67,"12,242.67"
El Salvador,7257.41,"7,257.41"
Equatorial Guinea,18595.63,"18,595.63"
Eritrea,925.083,925.083
Estonia,31300.64,"31,300.64"
Eswatini,9743.71,"9,743.71"
Ethiopia,2192.22,"2,192.22"
Fiji,10604.76,"10,604.76"
Finland,41883.26,"41,883.26"
France,41226.74,"41,226.74"
Gabon,16637.56,"16,637.56"
The Gambia,2396.79,"2,396.79"
Georgia,10674.92,"10,674.92"
Germany,46765.48,"46,765.48"
Ghana,6072.61,"6,072.61"
Greece,26410.77,"26,410.77"
Grenada,14594.66,"14,594.66"
Guatemala,7599.62,"7,599.62"
Guinea,2131.2,"2,131.20"
Guinea-Bissau,1762.22,"1,762.22"
Guyana,7939.13,"7,939.13"
Haiti,1639.55,"1,639.55"
Honduras,4709.85,"4,709.85"
Hong Kong SAR,56683.67,"56,683.67"
Hungary,29723.35,"29,723.35"
Iceland,48947.53,"48,947.53"
India,7314.57,"7,314.57"
Indonesia,12220.82,"12,220.82"
Islamic Republic of Iran,15419.01,"15,419.01"
